단지명,주소,전화번호,세대수,시도,시군구,동리,kaptCode,관리업체,시공사,준공년도
작전동보아파트,인천시 계양구 주부토로363번길 27,325460270,1187.0,인천광역시,계양구,작전동,A40777114,주식회사 푸른종합주택관리,동보건설,1995
유승그린아파트,인천시 계양구 아나지로 197번길9,325537809,279.0,인천광역시,계양구,효성동,A40783102,에이비엠(주),유승종합건설,1996
작전 한신 아파트,인천광역시 계양구 효서로 284,325456314,259.0,인천광역시,계양구,작전동,A40782005,미래티엠에스(주),(주)한신공영,1991
계양센트레빌2단지,인천광역시 계양구 형제봉길 50,325425877,256.0,인천광역시,계양구,귤현동,A40772204,에이제이대원 주식회사,동부건설,2013
효성1차 현대 아파트,인천 계양구 효성1동 21-11,325477221,874.0,인천광역시,계양구,효성동,A40778310,에이비엠(주),현대산업개발(주),1991
효성4차현대아파트,인천계양구 효성동 새벌로112번길12,325522074,919.0,인천광역시,계양구,효성동,A40772110,에이비엠(주),현대산업개발,1995
효성동2차유승아파트,"인천광역시 계양구 새풀로 27 (효성동, 유승아파트)",325549443,350.0,인천광역시,계양구,효성동,A40783206,주식회사 푸른종합주택관리,(주)유승종합건설,2002
계양센트레빌1단지,인천광역시 계양구 형제봉길 100 (귤현동),032-546-0520,715.0,인천광역시,계양구,귤현동,A40772202,우리관리(주),동부건설,2013
효성 현대3차 아파트,인천광역시 계양구 새벌로 133번길 4,325484969,374.0,인천광역시,계양구,효성동,A40778306,에이비엠(주),현대산업개발,1992
계산은행마을삼보,인천 계양구 계산새로 108,032-551-7938,436.0,인천광역시,계양구,계산동,A40780910,에이비엠(주),주)삼보종합건설,1997
학마을 서해아파트,인천시 계양구 장제로 878,325537402,1261.0,인천광역시,계양구,병방동,A40770604,주식회사 대승케이비엠,(주)서해종합건설,1997
작전 삼보 아파트,인천 계양구 주부토로 472번길 36,325494392,454.0,인천광역시,계양구,작전동,A40781708,(주)쌍용개발,삼보종합건설,1994
효성 2차 현대아파트,인천시 계양구 길마로 83,325483414,340.0,인천광역시,계양구,효성동,A40778305,미래TMS(주),현대산업개발,1992
계산 한국 아파트,인천 계양구 주부토로 538 계산한국아파트,032-542-4442,416.0,인천광역시,계양구,계산동,A40780208,율산개발 유한회사,한국종합건설(주),1991
한진해모로아파트,인천광역시 계양구 동양로 100,325471350,478.0,인천광역시,계양구,동양동,A40772603,(주)쌍용개발,주택공사,2006
태화한진아파트,인천시 계양구 작전동 915-1,325531251,16740.0,인천광역시,계양구,작전동,A40706003,주식회사 푸른종합주택관리,태화건설(주),1997
작전 동보2차 아파트,인천광역시 계양구 장제로 663번길 13 (작전동),325554190,502.0,인천광역시,계양구,작전동,A40781810,주식회사 푸른종합주택관리,동보건설,2000
계산 인정프린스 아파트,인천광역시 계양구 계산3동 57-2,032-546-7309,299.0,인천광역시,계양구,계산동,A40780003,아산종합관리(주),인정건설(주),1992
계산극동아파트,인천광역시 계양구 하느재로 19번길 8,325430291,629.0,인천광역시,계양구,계산동,A40776202, ,극동건설,1985
계양박촌풍림아이원아파트,인천광역시 계양구 동양로11 계양박촌풍림아이원아파트,325520511,207.0,인천광역시,계양구,박촌동,A40733001,씨에스케이(주),풍림산업,2005
우남푸르미아,인천시 계양구 당미5길 7,325411247,158.0,인천광역시,계양구,동양동,A40772604,주식회사 푸른종합주택관리,(주)우남건설,2011
효성하나아파트,인천광역시 계양구 봉오대로 463번길 12,325531865,498.0,인천광역시,계양구,효성동,A40771810,에이비엠(주),한국공영,1996
계양한양수자인아파트,인천광역시 계양구 장제로 1004,032-543-1867,376.0,인천광역시,계양구,박촌동,A40772304,주식회사 대승케이비엠,(주)한양,2011
학마을영남아파트,인천 계양구 장제로 878 계산영남아파트 관리사무소,032-553-4765,1047.0,인천광역시,계양구,병방동,A40770703,대원에스테이트서비스(주),(주)영남건설,1997
효성 풍림 아파트,인천광역시 계양구 아나지로213번길 22,032-551-9430,342.0,인천광역시,계양구,효성동,A40704205,화신지엠에스,풍림산업,1997
새사미2차아파트,인천광역시 계양구 봉오대로 441,325480624,280.0,인천광역시,계양구,효성동,A10021803,미래티엠에스주식회사,우창건설,1985
작전 현대2-1차 아파트,인천광역시 계양구 효서로 381,325450100,840.0,인천광역시,계양구,작전동,A40706002,대원에스테이트서비스(주),성호주택(주),1991
작전 유호 아파트,인천 계양구 주부토로 363번길 4,325516936,299.0,인천광역시,계양구,작전동,A40706001,세화종합관리(주),유호건설,1995
태산 아파트,인천광역시 계양구 계산새로33번길 26,032-545-9712,408.0,인천광역시,계양구,계산동,A40780007, ,태산건설(주),1990
작전중앙하이츠아파트(부평하이츠A입주자대표회의),인천 계양구 효서로303번길 20,032-543-6808,186.0,인천광역시,계양구,작전동,A40781702,(주)화신지엠에스,중앙건설,1990
효성 중앙하이츠 아파트,인천광역시 계양구 안남로 572번길 17,325524416,375.0,인천광역시,계양구,효성동,A40782603,(주)화신지엠에스,중앙건설(주),1996
효성 5차 뉴서울,인천 계양구 아나지로 199 효성 뉴서울5차,032-546-4006,648.0,인천광역시,계양구,효성동,A40771809,에이비엠(주),뉴서울건설(주),1994
도두리동보아파트,인천시 계양구 작전서운동 912-3,325526768,1276.0,인천광역시,계양구,작전동,A40777203,율산개발 유한회사,동보건설,1996
효성 대림 아파트,인천 계양구 안남로 583 효성동,032-547-7540,298.0,인천광역시,계양구,효성동,A40782902,주식회사 대승케이비엠,대림산업,1999
방축 대창센시티아파트,인천광역시 계양구 장제로 933번길5,322011557,187.0,인천광역시,계양구,방축동,A40748001,에이비엠(주),대창기업,2006
"계산 삼보 1,2차 아파트",인천 계양구 주부토로 528,325411851,474.0,인천광역시,계양구,계산동,A40780211, ,삼보건설,1987
작전 한화 아파트,인천시 계양구 계산로 126번길 27,325412776,178.0,인천광역시,계양구,작전동,A40782302,(주)대한주택개발,한화건설(주),1998
효성 두산아파트,인천광역시 계양구 안남로573번길 18,325444620,957.0,인천광역시,계양구,효성동,A40704002,(주)대한주택개발,두산건설(주),1997
작전 무지개 아파트,인천 광역시 계양구 봉오대로 744번길4,325465946,240.0,인천광역시,계양구,작전동,A40781703,쌍용개발,서만건설(주),1989
계산 서해그린3차 아파트,인천 계양구 주부토로501번길 26,032-545-3437,498.0,인천광역시,계양구,계산동,A40780702,쌍용개발,(주)서해종합건설,1991
삼천리열망1차2차아파트,인천광역시 계양구 주부토로 507,325559781,460.0,인천광역시,계양구,계산동,A40776103, ,삼천리주택,1986
효성태산아파트,인천광역시 계양구 봉오대로 477번길 20,325538932,1178.0,인천광역시,계양구,효성동,A40771911,에이비엠(주),(주)태산,1997
우남푸르미아아파트,인천광역시 계양구 봉오대로 671,325473232,117.0,인천광역시,계양구,작전동,A10021643,(주)국제안전시스템,우남건설(주),2006
서운 경남아너스빌아파트,인천광역시 계양구 살라리로 21,032-555-4480,255.0,인천광역시,계양구,서운동,A40707001,에이비엠(주),경남,2007
계양1차하우스토리,인천광역시 계양구 서부간선로 290,032-543-0956,257.0,인천광역시,계양구,박촌동,A40772301,주식회사 대승케이비엠,남광토건(주),2009
구월 힐스테이트&롯데캐슬골드,인천시 남동구 구월로 192,324636821,5076.0,인천광역시,남동구,구월동,A40576101,(주)신원티엠씨(TMC),구월주공아파트재건축조합,2007
간석 래미안자이아파트,인천광역시 남동구 간석2동 939-1,324610033,2432.0,인천광역시,남동구,간석동,A40523202,대원에스테이트서비스(주),"삼성물산, GS건설",2008
간석풍림아이원아파트,인천 남동구 석산로 35,324220905,922.0,인천광역시,남동구,간석동,A40581005,대원에스테이트서비스(주),(주)풍림산업,2004
햇빛마을벽산아파트,인천시 남동구 호구포로 924,324722080,2073.0,인천광역시,남동구,만수동,A40574904,주식회사 에스티에스텍,벽산건설,2000
한화에코메트로11단지,인천 남동구 논고개로 17,032-422-1025,1622.0,인천광역시,남동구,논현동,A40579701,(주)쌍용개발,(주)한화건설,2009
논현주공13단지,인천시 남동구 포구로 98번길,322127100,785.0,인천광역시,남동구,논현동,A40530004,에이비엠주식회사,풍창건설(주),2006
구월롯데캐슬골드아파트,인천 남동구 호구포로 803,324640848,3384.0,인천광역시,남동구,구월동,A40582303,대원에스테이트서비스(주),롯데건설주식회사,2007
만수주공2단지아파트,인천광역시 남동구 백범로124번길 43,032-461-2051,1920.0,인천광역시,남동구,만수동,A40577105,주식회사 푸른종합주택관리,대한주택공사,1987
"서창퍼스트뷰(구,서창LH7단지)",인천광역시 남동구 서창남순환로 190-15,032-472-3451,1196.0,인천광역시,남동구,서창동,A40576903,(주)청원종합관리,"1공구:롯데건설, 2공구:대보건설",2012
구월신세계아파트,인천광역시 남동구 호구포로 858,324653488,700.0,인천광역시,남동구,구월동,A40582802,에이비엠(주),영동개발진흥(주),1980
논현소래마을풍림,인천시 남동구 청능대로 718번길 7 ,324410334,1517.0,인천광역시,남동구,논현동,A40577815,화신지엠에스,풍림산업,2000
간석신동아파밀리에명품아파트,인천광역시 남동구 간석동 염전로 440,328720714,715.0,인천광역시,남동구,간석동,A40581004,주식회사 푸른종합주택관리,신동아건설,2007
만수 주공4단지 아파트,인천광역시 남동구 백범로 124번길 126,324612052,2220.0,인천광역시,남동구,만수동,A40577106,서림주택관리(주),대한주택공사,1987
구월 팬더 아파트,인천광역시 남동구 구월1동 258,324630136,946.0,인천광역시,남동구,구월동,A40573202,(주)쌍용개발,천금주택,1991
에코메트로한화12단지,인천광역시 남동구 논고개로 10,324256471,1298.0,인천광역시,남동구,논현동,A40579702,에이비엠(주),한화건설,2009
서창베라체,,,938.0,인천광역시,남동구,서창동,A40576902,주식회사 푸른종합주택관리,한일건설,2012
에코메트로더타워,,,644.0,인천광역시,남동구,논현동,A40579712,우리관리(주),한화건설,2013
에코메트로7단지,,,848.0,인천광역시,남동구,논현동,A40579709,우리관리(주),(주)한화,2010
간석 우성1차 아파트,,,1050.0,인천광역시,남동구,간석동,A40575206,주식회사 푸른종합주택관리,(주)우성건설,1990
간석 금호어울림 아파트,,,1733.0,인천광역시,남동구,간석동,A40571701,(주)쌍용개발,간석주공맨션재건축정비사업조합,2005
논현냇마을신영지웰,,,985.0,인천광역시,남동구,논현동,A40530012,대원에스테이트서비스(주),SK건설,2007
논현한화에코메트로9단지,,,810.0,인천광역시,남동구,논현동,A40579708,에이제이대원 주식회사,(주)한화건설,2011
간석현대홈타운,,,649.0,인천광역시,남동구,간석동,A40570904,에이비엠(주),현대건설,2003
구월아시아드 선수촌5단지아파트,,,782.0,인천광역시,남동구,구월동,A10028027,에이비엠(주),신일건업,2015
만수 신동아 아파트,,,750.0,인천광역시,남동구,만수동,A40577402,(주)대한주택개발,신동아건설,1990
포레시안 아파트,,,3208.0,인천광역시,남동구,만수동,A40574201,(주)쌍용개발,LH공사,2011
만수 뉴서울 아파트,,,1234.0,인천광역시,남동구,만수동,A40575812,동우개발 주식회사,뉴서울건설,1992
간석엘에이치2단지,,,792.0,인천광역시,남동구,간석동,A40523001,에이비엠,대명건설,2014
간석금호,,,630.0,인천광역시,남동구,간석동,A40570603, ,금호건설,1987
서창 현대모닝사이드 아파트,,,630.0,인천광역시,남동구,서창동,A40526004,쌍용개발,(주)태평주택,2002
논현신일해피트리,,,828.0,인천광역시,남동구,논현동,A40530006,우리관리(주),신일건설,2007
논현단풍마을트리플에듀,,,898.0,인천광역시,남동구,논현동,A40530010,(주)케이비아주,"서희건설,신일",2006
논현꿈에그린,,,982.0,인천광역시,남동구,논현동,A40530011,(주)화신지엠에스,한화건설,2007
만수 효성 상아 아파트,,,720.0,인천광역시,남동구,만수동,A40575501, ,동성건설,1985
논현별빛마을웰카운티,,,888.0,인천광역시,남동구,논현동,A40530009,에이비엠(주),도시개발공사,2008
구월아시아드선수촌 센트럴자이,,,850.0,인천광역시,남동구,구월동,A10028026,신화비엠씨(주),GS건설,2015
구월힐스테이트3단지아파트,,,474.0,인천광역시,남동구,구월동,A40582301,(주)화신지엠에스,현대건설,2007
간석극동,,,760.0,인천광역시,남동구,간석동,A40570505,에이비엠(주),극동건설,1989
만수주공8단지아파트,,,1440.0,인천광역시,남동구,만수동,A40577003,미래TMS(주),대한주택공사,1989
도림주공그린빌2단지,,,642.0,인천광역시,남동구,도림동,A40578503,에이비엠(주),대한주택공사,2003
도림 아이파크아파트,,,349.0,인천광역시,남동구,도림동,A40528002,주식회사 대승케이비엠,현대산업개발,2008
서창 자이아파트,,,500.0,인천광역시,남동구,서창동,A40587002,에이비엠(주),GS건설(주),2008
논현주공2-1단지,,,880.0,인천광역시,남동구,논현동,A40585008,쌍용개발,대한주택공사,1998
간석두진아파트,,,354.0,인천광역시,남동구,간석동,A40571902,주식회사 대승케이비엠,(주) 두진건설,1994
논현휴먼시아동산마을,,,833.0,인천광역시,남동구,논현동,A40579607,에이비엠(주),한국주택공사,2006
논현한화에코메트로6단지,,,960.0,인천광역시,남동구,논현동,A40579705,서림주택관리(주),(주)한화,2010
구월아시아드선수촌8단지아파트,,,768.0,인천광역시,남동구,구월동,A10028024,에이비엠(주),일성건설,2015
서창센트라스아파트,,,566.0,인천광역시,남동구,서창동,A40576904,(주)화신지엠에스,(주)대명건설,2014
간석LH1단지,,,587.0,인천광역시,남동구,간석동,A40523002,우리관리주식회사,우미건설(주),2014
서창서해그랑블,,,523.0,인천광역시,남동구,서창동,A40526003,주식회사 푸른종합주택관리,(주)서해종합건설,2008
향촌휴먼시아2단지아파트,,,438.0,인천광역시,남동구,만수동,A40574202,신한영주택관리(주),이수건설,2012
구월아시아드선수촌 6단지,,,602.0,인천광역시,남동구,구월동,A10028031,주식회사 푸른종합주택관리,남양건설(주),2015
만수주공1단지,,,516.0,인천광역시,남동구,만수동,A40577102,만수주공1단지아파트,대한주택공사,1985
만수주공10단지아파트,,,420.0,인천광역시,남동구,만수동,A40577305,동우개발 주식회사,대한주택공사,1994
만수 현대 아파트,,,560.0,인천광역시,남동구,만수동,A40576807,에이비엠(주),고려산업개발(주),1992
논현힐스테이트,,,594.0,인천광역시,남동구,논현동,A40579704,현대하우징 주식회사,현대건설,2010
구월아시아드 선수촌2단지 아파트,,,636.0,인천광역시,남동구,구월동,A10028030,신화bmc(주),울트라건설,2015
도림벽산블루밍아파트,,,342.0,인천광역시,남동구,도림동,A40528001,세화종합관리(주),벽산건설,2008
논현한화에코메트로5단지,,,1052.0,인천광역시,남동구,논현동,A40579706,에이비엠(주),한화건설,2010
유호엔시티1단지아파트,,,383.0,인천광역시,남동구,논현동,A40579711,(주)쌍용개발,유호건설(주),2013
남촌3차풍림아파트,,,735.0,인천광역시,남동구,남촌동,A40510003,씨에스케이(주),풍림산업,1999
서창 임광그대가아파트,,,666.0,인천광역시,남동구,서창동,A40526006,에이비엠(주),임관토건,2007
만수 주공11단지 아파트,,,902.0,인천광역시,남동구,만수동,A40574403,신한영주택관리(주),대한주택공사,1997
만수 이삭1차 아파트,,,299.0,인천광역시,남동구,만수동,A40576502,미래TMS(주),이삭건설(주),2000
만수 한국 아파트,,,608.0,인천광역시,남동구,만수동,A40576708,(주)화신지엠에스,(주) 한국주택,1992
간석 현대 아파트,,,390.0,인천광역시,남동구,간석동,A40571602,씨에스케이(주),고려산업개발주식회사,1991
남촌풍림1차,,,421.0,인천광역시,남동구,남촌동,A40573502, ,풍림산업(주),1998
다정한마을간석서해,,,270.0,인천광역시,남동구,간석동,A40580901,(주)화신지엠에스,서해종합건설,2004
만수 금호타운 아파트,,,414.0,인천광역시,남동구,만수동,A40575704,에이제이대원 주식회사,금호건설,1992
만수 대동 아파트,,,560.0,인천광역시,남동구,만수동,A40576206,에이비엠(주),대동주택 종합관리,1992
간석한진,,,600.0,인천광역시,남동구,간석동,A40571402,주식회사 푸른종합주택관리,한일개발,1980
만수 남동 아파트,,,770.0,인천광역시,남동구,만수동,A40576409,미래티엠에스(주),강산건설,1992
논현파크포레,,,872.0,인천광역시,남동구,논현동,A40579703,(주)쌍용개발,서희건설,2009
대우재한신휴플러스,,,120.0,인천광역시,남동구,구월동,A10021852,씨에스케이(주),한신공영,2011
만수 삼환1차 아파트,,,660.0,인천광역시,남동구,만수동,A40574002,에이비엠,삼환기업,1989
만수 대성유니드아파트,,,364.0,인천광역시,남동구,만수동,A40586002,(주)청원종합관리,대성건설,2006
만수 신대동 아파트,,,432.0,인천광역시,남동구,만수동,A40574701, ,대동주택종합건설주식회사,1989
서창 태평1차 아파트,,,435.0,인천광역시,남동구,서창동,A40576901, ,영남건설,1995
논현센트럴뷰,,,820.0,인천광역시,남동구,논현동,A40579713,세화종합관리(주),삼환기업(주),2014
구월동아아파트,,,486.0,인천광역시,남동구,구월동,A40573101,에이비엠(주),(주)동아산업개발,1991
간석 이삭 아파트,,,180.0,인천광역시,남동구,간석동,A40523301,에이제이대원 주식회사,(주)이삭종합건설,1999
인천서창에코에비뉴아파트,,,855.0,인천광역시,남동구,서창동,A40576906,우리관리(주),울트라건설,2014
만수 광명14차 아파트,,,870.0,인천광역시,남동구,만수동,A40575610,에이비엠주식회사,주식회사 광명주택,1991
논현한화에코메트로10단지,,,556.0,인천광역시,남동구,논현동,A40579707,(주)쌍용개발,한화건설,2010
만수주공3단지 아파트,,,510.0,인천광역시,남동구,만수동,A40577101,씨에스케이(주),LH 공사,1986
논현동보,,,278.0,인천광역시,남동구,논현동,A40585001,대성티엠씨 주식회사,동보건설,1999
송현솔빛마을주공1차아파트,,,2711.0,인천광역시,동구,송현동,A40104007,우리관리(주),한신공영,2003
만석 비치타운주공 아파트,,,1273.0,인천광역시,동구,만석동,A40101001,(주)화신지엠에스,대한주택공사,2002
송림 풍림아이원아파트,,,1355.0,인천광역시,동구,송림동,A40107002,우리관리(주),풍림건설,2009
동산휴먼시아2단지,,,863.0,인천광역시,동구,송림동,A40107004,(주)쌍용개발,LH,2010
화수 영풍 아파트,,,359.0,인천광역시,동구,화수동,A40102001,(주)화신지엠에스,영풍산업주식회사,2001
송림휴먼시아1단지,,,1011.0,인천광역시,동구,송림동,A40172201,(주)아주관리,풍림건설,2009
송현 삼두1차아파트,,,264.0,인천광역시,동구,송현동,A40104001, ,삼두건설,1984
솔빛마을주공2차2단지,,,354.0,인천광역시,동구,송현동,A40104008,주식회사한빛관리,요진건설산업,2003
미륭,,,560.0,인천광역시,동구,화수동,A40180401, ,동부건설,1990
송현 삼두2차아파트,,,432.0,인천광역시,동구,송현동,A40170601, ,삼두실업,1987
인천화도진그린빌,,,365.0,인천광역시,동구,화수동,A40102002,(주)화신지엠에스,대한주택공사,2001
학익풍림아이원,,,2090.0,인천광역시,미추홀구,학익동,A40204110,국제경보산업(주),풍림산업,2007
학익동아풍림,,,1480.0,인천광역시,미추홀구,학익동,A40204109,우리관리주식회사,"동아건설산업(주),풍림산업(주)",1999
관교한신휴플러스,,,1509.0,인천광역시,미추홀구,주안동,A40270206,우리관리(주),한신공영(주),2010
용현대림아파트,,,598.0,인천광역시,미추홀구,용현동,A40276207, ,대림산업주식회사,1990
주안더월드스테이트단지,,,3160.0,인천광역시,미추홀구,주안동,A40220603,우리관리(주),"벽산,풍림",2008
용현엑슬루타워,,,630.0,인천광역시,미추홀구,용현동,A40279301,우리관리(주),풍림산업(주),2011
주안 현대홈타운 아파트,,,443.0,인천광역시,미추홀구,주안동,A40283602,서림주택관리(주),현대건설(주),2002
학익엑슬루타워,,,707.0,인천광역시,미추홀구,학익동,A40276901,(주)쌍용개발,풍림산업(주),2010
용현 대우 아파트,,,616.0,인천광역시,미추홀구,용현동,A40283304,주식회사 대승케이비엠,대우건설,2001
용현금호타운,,,1170.0,인천광역시,미추홀구,용현동,A40276109,주식회사 대승케이비엠,광주고속,1991
용현신창미션힐아파트,,,821.0,인천광역시,미추홀구,용현동,A40202001,(주)태룡에스디,주식회사 신창건설,2004
"학익 신동아 1,2차 아파트",,,938.0,인천광역시,미추홀구,학익동,A40277908,(주)쌍용개발,신동아건설,1988
신비마을 아파트,,,960.0,인천광역시,미추홀구,주안동,A40276005,서림주택관리(주),인천시 종합건설본부,1994
주안 쌍용 아파트,,,768.0,인천광역시,미추홀구,주안동,A40275904, ,쌍용종합건설,1984
도화신동아파밀리에,,,396.0,인천광역시,미추홀구,도화동,A40274901,미래티엠에스(주),신동아건설,2012
용현 한양2차 아파트,,,352.0,인천광역시,미추홀구,용현동,A40274103,서림주택관리주식회사,금아산업(주),1992
도화역대성유니드아파트,,,265.0,인천광역시,미추홀구,도화동,A40206001,주식회사 푸른종합주택관리,대성산업(주),2014
용현유원아파트,,,941.0,인천광역시,미추홀구,용현동,A40202205,에이비엠(주),유원건설(주),1989
용현 금호2차 아파트,,,1306.0,인천광역시,미추홀구,용현동,A40276110,쌍용개발,(주)금호건설,1999
학익신동아5차아파트,,,594.0,인천광역시,미추홀구,학익동,A40277905,에이제이대원 주식회사,신동아 건설,1993
용현성원상떼빌,,,550.0,인천광역시,미추홀구,용현동,A40202203,동우개발 주식회사,성원건설,2009
학익 신동아3차 아파트,,,894.0,인천광역시,미추홀구,학익동,A40277907,에이비엠(주),신동아건설(주),1990
용현 우성 아파트,,,408.0,인천광역시,미추홀구,용현동,A40273805,주식회사 푸른종합주택관리,우성건설,1996
학익 신동아7차 아파트,,,510.0,인천광역시,미추홀구,학익동,A40277903,주식회사 동우개발,(주)신동아패밀리,1994
숭의 한화꿈에그린아파트,,,405.0,인천광역시,미추홀구,숭의동,A40281301,(주)태룡에스디,한화,2007
학익현광2차,,,171.0,인천광역시,미추홀구,학익동,A40204101,(주)쌍용개발,현광건설,2002
도화 동원 아파트,,,375.0,인천광역시,미추홀구,도화동,A40272002,(주)케이티팝스,동원건설,1987
관교삼환2차,,,410.0,인천광역시,미추홀구,관교동,A40270704,(주)쌍용개발,삼환까뮤,1991
관교풍림,,,10.0,인천광역시,미추홀구,관교동,A40271701,(주)쌍용개발,풍림,1991
용현 한양1차 아파트,,,606.0,인천광역시,미추홀구,용현동,A40274208,동우개발 주식회사,(주)한양,1990
관교동부,,,420.0,인천광역시,미추홀구,관교동,A40270205,에스엠피티 주식회사,동부건설(주),1991
관교삼환1단지,,,352.0,인천광역시,미추홀구,관교동,A40270602,에이비엠(주),삼환기업,1992
관교성지아파트,,,420.0,인천광역시,미추홀구,관교동,A40270806,(주)화신지엠에스,성지건설(주),1991
영남들국화아파트,,,444.0,인천광역시,미추홀구,학익동,A40204107, ,영남주택,1989
주안 남광로얄 아파트,,,474.0,인천광역시,미추홀구,주안동,A40275503, ,"남광토건,로얄주택",1980
주안신동아4차아파트,,,630.0,인천광역시,미추홀구,학익동,A40277906,미래티엠에스(주),신동아건설,1990
학익현광1차,,,348.0,인천광역시,미추홀구,학익동,A40277705,쌍용개발,현광종합건설,2000
주안 현대 아파트,,,338.0,인천광역시,미추홀구,주안동,A40274301,(주)화신지엠에스,현대건설,1985
학익원흥,,,396.0,인천광역시,미추홀구,학익동,A40204106,(주)쌍용개발,원흥종합건설(주),1996
학익태산,,,252.0,인천광역시,미추홀구,학익동,A40277602,미래TMS(주),(주)태산,1998
학익장미1차,,,580.0,인천광역시,미추홀구,학익동,A40277408,(주)태룡에스디,신환종합건설(주),1984
학익두산위브,,,432.0,인천광역시,미추홀구,학익동,A40204001,대원에스테이트서비스(주),두산건설주식회사,2011
용현금호어울림3단지,,,180.0,인천광역시,미추홀구,용현동,A40279101,미래TMS(주),금호산업,2010
관교 쌍용 아파트,,,464.0,인천광역시,미추홀구,관교동,A40271507,에이비엠,쌍용건설,1991
